"Tidsstempel","Dit fulde navn","Din adresse","Din søgehistorik","Dine forældres navne","Dine forældres adresse","Din uddannelse","Dine karaktere","Din bank","Dit kontonummer","Din mailadresse","Dine brugernavn på diverse webtjenester(Steam, Insta, Discord etc.)","Din vægt","Din religiøse tro","Dit medlemsskab i foreninger","Din politiske overbevisning","Din stemme ved sidste folketingsvalg","Din job","Dine arbejdsopgaver","Din indkomst","Din skatteprocent","Dit køn","Din seksualitet","Din søgehistorik i incognito/private mode","Din købshistorik i din lokale dagligvarebutik ","Hele din transaktionshistorik til dit DK/visa kort","Navnet på din ynglingsbamse da du var 4 år","Din bedste ven i 3. klasse","Navn, tid og sted på dit første kys"
"2021/03/09 10:21:59 AM CET","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er nogen gange privat","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat - alt efter situationen.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er nogen gange privat","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er privat.","Det er privat.","Det er privat."
"2021/03/09 10:22:04 AM CET","Det er aldrig privat - alle kan finde ud af det om mig.","Det er aldrig privat","Det er privat.","Det er aldrig privat","Det er aldrig privat - alle kan finde ud af det om mig.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er aldrig privat","Det er privat.","Det er privat.","Det er aldrig privat","Det er privat.","Det er privat.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er nogen gange privat - alt efter situationen.","Det er privat.","Det er aldrig privat","Det er aldrig privat","Det er privat.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er privat.","Det er privat.","Det er aldrig privat","Det er privat."
"2021/03/09 10:22:11 AM CET","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat","Det er nogen gange privat","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat","Det er privat.","Det er aldrig privat","Det er nogen gange privat","Det er privat.","Det er nogen gange privat","Det er aldrig privat - alle kan finde ud af det om mig.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er privat.","Det er aldrig privat","Det er privat.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er nogen gange privat","Det er aldrig privat","Det er aldrig privat","Det er privat."
"2021/03/09 10:22:11 AM CET","Det er aldrig privat - alle kan finde ud af det om mig.","Det er nogen gange privat","Det er nogen gange privat","Det er aldrig privat","Det er aldrig privat - alle kan finde ud af det om mig.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er aldrig privat","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er privat.","Det er privat.","Det er privat."
"2021/03/09 10:22:12 AM CET","Det er nogen gange privat - alt efter situationen.","Det er privat.","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er nogen gange privat","Det er privat.","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er nogen gange privat","Det er privat.","Det er nogen gange privat","Det er nogen gange privat","Det er nogen gange privat","Det er privat.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er nogen gange privat - alt efter situationen.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er nogen gange privat","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er nogen gange privat","Det er nogen gange privat","Det er privat."
"2021/03/09 10:22:13 AM CET","Det er privat - jeg bestemmer hvem der ved det.","Det er nogen gange privat","Det er privat.","Det er nogen gange privat","Det er privat - jeg bestemmer hvem der ved det.","Det er nogen gange privat","Det er privat.","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat - alt efter situationen.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er aldrig privat","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er nogen gange privat","Det er nogen gange privat","Det er nogen gange privat"
"2021/03/09 10:22:15 AM CET","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat","Det er nogen gange privat","Det er nogen gange privat","Det er nogen gange privat","Det er aldrig privat","Det er aldrig privat","Det er aldrig privat - alle kan finde ud af det om mig.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er aldrig privat","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er privat.","Det er privat.","Det er privat.","Det er privat."
"2021/03/09 10:22:19 AM CET","Det er aldrig privat - alle kan finde ud af det om mig.","Det er privat.","Det er privat.","Det er aldrig privat","Det er nogen gange privat - alt efter situationen.","Det er aldrig privat","Det er nogen gange privat","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er aldrig privat","Det er privat.","Det er nogen gange privat","Det er privat.","Det er nogen gange privat","Det er nogen gange privat","Det er aldrig privat - alle kan finde ud af det om mig.","Det er nogen gange privat - alt efter situationen.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er aldrig privat","Det er privat."
"2021/03/09 10:22:23 AM CET","Det er nogen gange privat - alt efter situationen.","Det er privat.","Det er nogen gange privat","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat - alt efter situationen.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er nogen gange privat","Det er nogen gange privat","Det er nogen gange privat - alt efter situationen.","Det er privat.","Det er privat.","Det er nogen gange privat","Det er privat."
"2021/03/09 10:22:26 AM CET","Det er nogen gange privat - alt efter situationen.","Det er nogen gange privat","Det er privat.","Det er nogen gange privat","Det er privat - jeg bestemmer hvem der ved det.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat.","Det er nogen gange privat - alt efter situationen.","Det er aldrig privat","Det er privat.","Det er aldrig privat","Det er privat.","Det er privat.","Det er privat.","Det er aldrig privat - alle kan finde ud af det om mig.","Det er nogen gange privat - alt efter situationen.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er aldrig privat","Det er privat.","Det er privat - jeg bestemmer hvem der ved det.","Det er privat.","Det er aldrig privat","Det er aldrig privat","Det er privat."
