_id,date,age,count
1,2020-08-30,11-20,5
2,2020-09-03,21-30,6
3,2020-09-05,21-30,6
4,2020-09-07,21-30,5
5,2020-09-09,21-30,5
6,2020-09-11,11-20,5
7,2020-09-13,21-30,6
8,2020-09-16,21-30,6
9,2020-09-17,21-30,7
10,2020-09-18,21-30,13
11,2020-09-19,21-30,14
12,2020-09-20,11-20,6
13,2020-09-20,21-30,16
14,2020-09-21,11-20,6
15,2020-09-21,21-30,19
16,2020-09-21,31-40,5
17,2020-09-22,11-20,7
18,2020-09-22,21-30,18
19,2020-09-23,21-30,10
20,2020-09-24,11-20,5
21,2020-09-24,21-30,25
22,2020-09-24,31-40,11
23,2020-09-24,41-50,7
24,2020-09-25,11-20,6
25,2020-09-25,21-30,32
26,2020-09-25,31-40,5
27,2020-09-25,41-50,6
28,2020-09-26,21-30,13
29,2020-09-26,31-40,47
30,2020-09-26,41-50,10
31,2020-09-26,51-60,7
32,2020-09-26,61-70,12
33,2020-09-27,11-20,6
34,2020-09-27,21-30,26
35,2020-09-27,41-50,6
36,2020-09-28,11-20,9
37,2020-09-28,21-30,25
38,2020-09-28,41-50,7
39,2020-09-29,11-20,12
40,2020-09-29,21-30,23
41,2020-09-29,41-50,7
42,2020-09-29,51-60,5
43,2020-09-30,11-20,20
44,2020-09-30,21-30,40
45,2020-09-30,41-50,9
46,2020-09-30,51-60,8
47,2020-10-01,11-20,18
48,2020-10-01,21-30,32
49,2020-10-01,41-50,5
50,2020-10-01,51-60,7
51,2020-10-02,11-20,12
52,2020-10-02,21-30,23
53,2020-10-02,31-40,9
54,2020-10-03,11-20,10
55,2020-10-03,21-30,14
56,2020-10-03,31-40,5
57,2020-10-03,41-50,5
58,2020-10-04,11-20,19
59,2020-10-04,21-30,15
60,2020-10-04,31-40,8
61,2020-10-04,51-60,5
62,2020-10-05,11-20,14
63,2020-10-05,21-30,6
64,2020-10-05,51-60,6
65,2020-10-06,11-20,5
66,2020-10-06,21-30,8
67,2020-10-07,11-20,6
68,2020-10-07,21-30,6
69,2020-10-07,41-50,6
70,2020-10-08,11-20,7
71,2020-10-08,21-30,7
72,2020-10-08,31-40,5
73,2020-10-08,41-50,7
74,2020-10-08,51-60,5
75,2020-10-09,21-30,10
76,2020-10-09,31-40,8
77,2020-10-09,41-50,5
78,2020-10-09,51-60,8
79,2020-10-10,11-20,7
80,2020-10-10,21-30,11
81,2020-10-10,31-40,8
82,2020-10-10,41-50,6
83,2020-10-10,51-60,8
84,2020-10-10,61-70,6
85,2020-10-11,11-20,6
86,2020-10-11,21-30,5
87,2020-10-12,0-10,5
88,2020-10-12,11-20,11
89,2020-10-12,21-30,7
90,2020-10-12,41-50,10
91,2020-10-14,0-10,5
92,2020-10-14,11-20,5
93,2020-10-14,21-30,6
94,2020-10-14,31-40,5
95,2020-10-15,11-20,6
96,2020-10-15,31-40,6
97,2020-10-15,51-60,7
98,2020-10-16,21-30,13
99,2020-10-16,31-40,7
100,2020-10-17,21-30,14
101,2020-10-17,31-40,6
102,2020-10-17,41-50,5
103,2020-10-18,11-20,10
104,2020-10-18,21-30,11
105,2020-10-18,41-50,6
106,2020-10-18,51-60,5
107,2020-10-19,11-20,6
108,2020-10-19,21-30,14
109,2020-10-20,11-20,10
110,2020-10-20,21-30,17
111,2020-10-20,31-40,7
112,2020-10-21,11-20,15
113,2020-10-21,21-30,12
114,2020-10-21,41-50,7
115,2020-10-21,51-60,6
116,2020-10-22,11-20,48
117,2020-10-22,21-30,27
118,2020-10-22,31-40,5
119,2020-10-22,41-50,8
120,2020-10-22,51-60,9
121,2020-10-23,0-10,6
122,2020-10-23,11-20,62
123,2020-10-23,21-30,44
124,2020-10-23,31-40,10
125,2020-10-23,41-50,9
126,2020-10-23,51-60,16
127,2020-10-23,61-70,8
128,2020-10-24,0-10,5
129,2020-10-24,11-20,20
130,2020-10-24,21-30,22
131,2020-10-24,31-40,5
132,2020-10-24,41-50,6
133,2020-10-24,51-60,6
134,2020-10-25,11-20,28
135,2020-10-25,21-30,19
136,2020-10-25,41-50,9
137,2020-10-25,51-60,6
138,2020-10-26,11-20,25
139,2020-10-26,21-30,29
140,2020-10-26,31-40,11
141,2020-10-26,41-50,8
142,2020-10-26,51-60,8
143,2020-10-27,11-20,10
144,2020-10-27,21-30,15
145,2020-10-27,41-50,5
146,2020-10-28,0-10,7
147,2020-10-28,11-20,23
148,2020-10-28,21-30,16
149,2020-10-28,31-40,11
150,2020-10-28,41-50,7
151,2020-10-29,11-20,5
152,2020-10-29,21-30,18
153,2020-10-29,31-40,6
154,2020-10-29,41-50,6
155,2020-10-29,51-60,7
156,2020-10-30,0-10,5
157,2020-10-30,11-20,12
158,2020-10-30,21-30,16
159,2020-10-30,31-40,5
160,2020-10-30,41-50,11
161,2020-10-30,51-60,15
162,2020-10-31,0-10,9
163,2020-10-31,11-20,15
