_id,date,postalcode,count
1,2020-08-26,9999,12
2,2020-08-27,9999,10
3,2020-08-28,9999,11
4,2020-08-29,9999,8
5,2020-08-30,9999,12
6,2020-08-31,9999,9
7,2020-09-01,9999,6
8,2020-09-02,9999,11
9,2020-09-03,9999,12
10,2020-09-04,9999,8
11,2020-09-05,8260,5
12,2020-09-05,9999,7
13,2020-09-07,9999,9
14,2020-09-08,9999,5
15,2020-09-09,9999,12
16,2020-09-10,9999,8
17,2020-09-11,8000,6
18,2020-09-11,9999,9
19,2020-09-12,9999,7
20,2020-09-13,8000,5
21,2020-09-13,9999,9
22,2020-09-14,9999,10
23,2020-09-15,9999,5
24,2020-09-16,8000,6
25,2020-09-16,9999,9
26,2020-09-17,8000,8
27,2020-09-17,9999,8
28,2020-09-18,8000,13
29,2020-09-18,9999,9
30,2020-09-19,8000,10
31,2020-09-19,9999,15
32,2020-09-20,8000,16
33,2020-09-20,9999,12
34,2020-09-21,8000,17
35,2020-09-21,8250,5
36,2020-09-21,9999,19
37,2020-09-22,8000,15
38,2020-09-22,8240,5
39,2020-09-22,9999,16
40,2020-09-23,8000,9
41,2020-09-23,9999,9
42,2020-09-24,8000,16
43,2020-09-24,8210,6
44,2020-09-24,8240,6
45,2020-09-24,8260,9
46,2020-09-24,8270,5
47,2020-09-24,8381,5
48,2020-09-24,9999,12
49,2020-09-25,8000,24
50,2020-09-25,8200,5
51,2020-09-25,8210,10
52,2020-09-25,8240,7
53,2020-09-25,9999,13
54,2020-09-26,8000,32
55,2020-09-26,8200,14
56,2020-09-26,8210,13
57,2020-09-26,8240,11
58,2020-09-26,8260,5
59,2020-09-26,9999,21
60,2020-09-27,8000,20
61,2020-09-27,8200,8
62,2020-09-27,8240,6
63,2020-09-27,9999,13
64,2020-09-28,8000,17
65,2020-09-28,8200,5
66,2020-09-28,8240,8
67,2020-09-28,8260,7
68,2020-09-28,8381,6
69,2020-09-28,9999,11
70,2020-09-29,8000,16
71,2020-09-29,8200,7
72,2020-09-29,8210,8
73,2020-09-29,8240,5
74,2020-09-29,8260,5
75,2020-09-29,9999,11
76,2020-09-30,8000,35
77,2020-09-30,8200,7
78,2020-09-30,8210,8
79,2020-09-30,8220,6
80,2020-09-30,8240,7
81,2020-09-30,8260,8
82,2020-09-30,9999,17
83,2020-10-01,8000,23
84,2020-10-01,8200,6
85,2020-10-01,8210,12
86,2020-10-01,8240,7
87,2020-10-01,8381,6
88,2020-10-01,9999,19
89,2020-10-02,8000,19
90,2020-10-02,8210,5
91,2020-10-02,8240,5
92,2020-10-02,8260,5
93,2020-10-02,9999,22
94,2020-10-03,8000,10
95,2020-10-03,8210,5
96,2020-10-03,8361,5
97,2020-10-03,8520,5
98,2020-10-03,9999,20
99,2020-10-04,8000,9
100,2020-10-04,8210,8
101,2020-10-04,8260,6
102,2020-10-04,8520,5
103,2020-10-04,8541,5
104,2020-10-04,9999,26
105,2020-10-05,8200,6
106,2020-10-05,8240,6
107,2020-10-05,8260,5
108,2020-10-05,9999,16
109,2020-10-06,8000,5
110,2020-10-06,9999,18
111,2020-10-07,9999,24
112,2020-10-08,8210,5
113,2020-10-08,8240,6
114,2020-10-08,8381,13
115,2020-10-08,9999,13
116,2020-10-09,8200,5
117,2020-10-09,8220,5
118,2020-10-09,8260,6
119,2020-10-09,8381,8
120,2020-10-09,9999,18
121,2020-10-10,8000,7
122,2020-10-10,8200,6
123,2020-10-10,8210,5
124,2020-10-10,8381,10
125,2020-10-10,9999,19
126,2020-10-11,8220,5
127,2020-10-11,9999,14
128,2020-10-12,8200,7
